id,date,text,word_count,char_count,avg_word_length,length_cluster,length_cluster_label,length_cluster_center_words
145607,2026-04-12T05:25:24+00:00," 
 
 
guys aku bingung enaknya gimana. jadiaku udah putus sama mantan aku sekitar 3bulanan yang lalu, tapi kita masih berhubungan baik kan. alasan dia mutusin aku tuh karena komunikasi kann. jadi aku berusaha buat perbaiki komunikasi aku sama dia kann

dan selama 3 bulan ini aku ada kenal cewe lain tuh,tapi dia chinese dan kami tuh beda agama. tapi aku ga nyangka yang awalnya cuma pengen kenalan aja ternyata aku sama dia sama² nyaman satu sama lain kan

bulan depan ini aku ada niatan buat balikan sama mantan aku dan mantan aku juga mau buat balikan. tapi aku malah lebih nyaman sama temen aku yang chinese ini

dari cara dia treat aku,dari cara aku sama dia komunikasi juga. jadi aku kaya bingung,disatu sisi aku mulai nyaman sama dia tapi disisi lain aku juga masih belum selesai sama masa lalu aku #mengask",143,805,4.58,3,panjang,178.557
145314,2026-04-05T08:02:00+00:00," 
 
 
Jadi guys apa yang bakal kalian lakuin ketika temen kalian ngomongin jelek tentang kalian kalo diposisinya kaya gw... jadi gw nginep dirumah temen gw emang niatnya cuma main bentar ekh hujan kebablasan sampai malam disitu pertama kali gw nginep, nah temen gw emng lg tantrum mulu  karena day 1 dan dirumah dia suasananya gak enak bapak mama nya beramtem pas malam itu, terus gw perhatiin temen gw fokus ke laptopnya disitu dia lg vc sama temennya satu lg tp gak ada suara cuma ngetik di laptop dan kalian tau mereka chatan tentang gw dibelakang mereka bilang yg gak"".. salah satu contohnya temen gw ini bilang "" ikh lakes dirumah gw masa gak mau cuci piring terus nyuruh gw ngambil minum "".. fyi gw kalo kerumah dia selalu cuci piring bekas makan keluarganya kalo ada, kadang gw bantu bantu pekerjaan yg lain.. hari itu  gw gak cuci piring karena gw lagi sibuk pendaftaran utbk tapi gak bantu dia ngejemur baju dan ya gw nyuruh ambil minum karena tuh minum ada di kulkas, gak mungkin gw buka.. terus temennya bilang ""ikh tamu gak tau diri"" dan mereka gak ngomongin hal kecil kaya gitu doang.. mereka ngomongin hal yang nyakitin hati gw... waktu gw ambil laptopnya dia marah banting pintu bilang ke ortu nya okeylah ortu nya b aja ... tapi pagi nya mamanya nyuruh gw harus maklumin sifat anaknya yang kaya gitu dan gw disuruh minta maaf sedangkan dia minta maaf aja gak... okey gw turutin kemauan mamanya gw minta maaf dan kalian tau respon dia cuma bilang hmmm",254,1458,4.61,3,panjang,178.557
145265,2026-04-04T06:02:20+00:00,"#anon 
Perjalanan membawamu
Bertemu denganku
Ku bertemu kamu
Sepertimu yang kucari
Konon aku juga seperti yang kau cari
Kukira kita asam dan garam
Dan kita bertemu di belanga
Kisah yang ternyata tak seindah itu
Kukira kita akan bersama
Begitu banyak yang sama
Latarmu dan latarku
Kukira takkan ada kendala
Kukira inikan mudah
Kau aku jadi kita
Kasih sayangmu membekas
Redam kini sudah pijar istimewa
Entah apa maksud dunia
Tentang ujung cerita
Kita tak bersama
Semoga rindu ini menghilang
Konon katanya waktu sembuhkan
Akan adakah lagi yang sepertimu
Kukira kita akan bersama
Begitu banyak yang sama
Latarmu dan latarku
Kukira takkan ada kendala
Kukira inikan mudah
Kau aku jadi kita
Kau melanjutkan perjalananmu
Ku melanjutkan perjalananku
Uh uh uh
Kukira kita akan bersama
Begitu banyak yang sama
Latarmu dan latarku
Kukira takkan ada kendala
Kukira inikan mudah
Kau aku jadi kita
Kukira kita akan bersama

===
✉️ Kirimin Aku Pesan Rahasia",148,939,5.297,3,panjang,178.557
145188,2026-04-02T06:23:19+00:00,"#bot 


 
haloo cowokk², salkenn yaa aku cwee lucuuu
soalnya aku pendek dan menggemaskan
tapiiii akuuu ga sependek ituu plisss
jangann panggill pendekkk gasukkaaaaaa☹️☹️☹️☹️
dedeee marahhh tauuuukkk kalo dipanggil pendekkk walaupun dedeee pendekkk😣😣😣☹️

IHHHH AKU SAMA POHON TOGE MASII TINGGIAN AKUUU TAUUUUKKKKK
dedeeee kannn botol yakultt😖😖😖 

cwo² jangan godain aku plsss aku maluuuu☹️☹️☹️🥺🥺🥺
iyaaaa iyaaa atuu tauuukk kalo acuuu imuttt dan kiyowokkk😫🥰

tinggi 140 tinggii bukan botoll yakulttt ihhhhhhhh☹️☹️☹️
gasukaaaaaa dblg pendekk jahattttt☹️☹️☹️

dedeeee yg imuttt iniiiii nangisan tp gemess☹️
dedee kalo ketemu cogan pengennya manyunn teyuss biar dicium ama diaa☹️🥺😘
dedeee kan kalo manyun pas ada cogan pengen dibilang
""gemes bgt si botol yakult ini jadi pengen cium""

teyussss kakaaa tauuuu tidaakkkk????? dedeee inii ga gampanggg cembeluttttt taukkkkkk☹️☹️☹️
cumaaa ngambekkk doanggg kalo sama cogan,biar dibujuk teyusss dipelukkk☹️☹️☹️
tapi kalo sm yg ga gantng dedee gasuka ngambekkk😔

whennnn yh dedeeee yg imutttt inii punyaa cowooo lucukkkkkk
tapiii ddeeee mau nyaaa sama cwoo lucu yg gantengggg
biar dedeee bisaa manjaaaaa☹️☹️☹️
yg rambutnya kayak sapu ijuk plissss dedeee sukaaakkkkkkk❤️❤️❤️😖

aa gantenggggg kiu kiw☹️🥺🥰
dedeee gemess lohhhh,masaa aa gamau sama dedeee yg gemes imut botol yakult inihh??🥺🥺🥺",185,1313,5.622,3,panjang,178.557
144975,2026-03-28T07:00:11+00:00," 
 
 
Setiap detik yang berdenyut dalam nadi waktu nama Furab selalu menjadi melodi yang paling indah untuk didengar💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜Kehadiran Furab membawa warna baru yang begitu cerah dan menenangkan di tengah hiruk-pikuknya dunia ini💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜Tidak ada satu pun hari yang terlewati tanpa rasa syukur karena takdir telah menyatukan Fuji dan Arab dalam ikatan Furab yang begitu istimewa💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜Kesetiaan yang terpancar dari Furab adalah bukti nyata bahwa cinta sejati memang memerlukan perjuangan dan ketulusanj yang tak terbatas💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜Semoga setiap langkah yang diambil oleh Furab selalu dituntunj oleh cahaya kebahagiaan dan dijauhkan dari segala rintangan yang menghadang💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜j💜💜💜💜💜💜Dalam setiap doa yang terucap nama Furab selalu terselip sebagai simbol cinta yang tulus dan abadi selamanya💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜Kehangatan yang diberikan oleh Furab mampu mencairkan segala kedinginan dan memberikan ketenangan bagi siapa pun yang melihatnya💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜Biarlah dunia menjadi saksi betapa kuatnya pondasi kasih sayang yang telah dibangun oleh Furab selama ini💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜Setiap tawa dan air mata yang telah dilalui bersama hanya akan membuat ikatan Furab menjadi semakin kokoh dan tak tergoyahkan oleh waktu💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜Furab adalah definisi dari dua jiwa yang saling melengkapi saling menjaga dan saling menguatkan di setiap keadaan💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜",184,1699,5.679,3,panjang,178.557
144953,2026-03-27T14:12:46+00:00,"#bot 




Gaes mau minta pendapat kalian dong, aku cewe usia 26 th, sarjana bioteknologi, belum pernah kerja tapi punya pengalaman pkl, alasan aku belum pernah kerja karna di kotaku ga ada loket buat S1 bioteknologi, aku bbrp kali dpt tawaran tp di jakarta semua, dam aku ga bisa berangkat karna ortuku ngelarang dengan alasan ga ada yg ngurus admin mamaku klu kontrol rutin ke rs, padahal saat itu ayahku masih di rumah, dan saat ini alhamdulillah ayahku udah kerja di LN, aku semakin ga bisa kerja di kantor karna aku harus stand by di rumah, akhirnya aku ada kepikiran buat kerja remote, tapi aku bingung kerja apa ya? Ada bbrp pekerjaan yg menarik si buat aku, kaya voice over, data entry, data scientist, data analyst, aku pernah ikut audisi voice over dan ternyata lolos tahap 1, pas tahap 2 ga lolos karna aku ga punya alat yg bisa menyesuaikan format yg mereka mau, kalau untuk data analis aku belum tau course mana yg worth it buat aku cobain, mungkin disini ada yg paham, minta sarannya ya, thank you 🙏",178,1007,4.522,3,panjang,178.557
144895,2026-03-26T06:51:22+00:00,"#anon

CW // HARSHWORDS

#anon Salah satu lonte di kelas gua yang udah ngerebut segala hal dari gua, even termasuk temen gua. Dia juga sering nge-copy segalanya dari gua dan berusaha bersaing sama gua, padahal gua udah baik-baikin ke dia. Tapi kontolnya, dia nggak tahu diri. Dengan nggak tahu dirinya, dia ngajak gua buat sekelompok berdua sama dia. Udah goblok, tolol, sinting, nggak tahu diri—lu mau apalagi sama gua, anjing?
Udah lu kemarin dorong gua dan nggak say sorry, malah bilang “apasih,” najis banget. Dan sekarang lu mau sekelompok sama gua? Pas gua tanya, dia baru ngajak gua doang—mampus, nggak punya temen, anjing. Gua nggak mau berhubungan sama orang najis, sampah, beban kayak elu, anjing. Rot in hell, bitch asshole. Gua benci banget sama lu, sumpah. Semoga umur lu pendek.

===
✉️ Kirimin Aku Pesan Rahasia",137,823,4.693,3,panjang,178.557
144560,2026-03-16T03:29:18+00:00," 
 
 
Demi apapun gua mimpi ada di dunia harry Potter. Jadi gua bangun d dlm gedung kosong sepi gelap gtu, trus pas gua nengok ada voldemort lagi munculin palanya di balik tembok. Trus harry potter jadi musuh gua anjr, tapi dia baik gtu loh. Voldemort jg musuh gua, tapii gua kaya setim gtu sama Hermione, dn Dumbledore. Trus Voldemort tuh kecil pendek kaya bocah umur 3/4 tahun, tapi mukanya sama. Abistu kan pertama ngelawan sirius, baru lah ni gua dpt tongkat sihir. Nah trus tempat nya tu lngsung berubah jadi di depan masjid sekolah gua anjir, gua ngejar² si harry potter. Nah goblok nya gua malah nyebutin mantra ""wingardium leviosa"" berkali², yg mana itu mantra buat bkin benda terbang bukan buat ngalahin musuh, trus udh gtu ga kena², padahal si harry udh lari sampe parkiran yg depan masjid, mana tongkat gua mleyot. Trus dia ngetawain gua kan, gua blg ""udah apa ry, cape gua. Ngalah aja pliss, gua mau pulang ketemu umi gua"" Trus bneran dia nyerahin diri sambil ketawa² abistu gua bawa kan ni dia, nah itu tujuannya aula sekolah gua anjirr gila, mana ketemu guru gua trus lewat tempat wudhu masjid yg mana lgi banyak cwo pada wudhu buat solat jumat. Trus harry ni crita k tmen gua klo gua gembel pas mau nyerang dia, dan endingnya. Kita semua pergi ke masjid buat solat berjama'ah. GUA GATAU INI RANDOM, KACO, GAJELAS BGT MIMPINYA 😔😔😔",236,1338,4.508,3,panjang,178.557
144475,2026-03-12T13:28:31+00:00,"#jenogf 
 
 
Orang yg ngatain fisik kok jahat banget sih, mereka bilangnya becanda tp efeknya di korban gabisa ilang. Aku udah cut off temen yg becandain muka aku jelek, badanku terlalu kurus, aku ga cocok make up korean style, dll. Aku udah lama cut off tp aku masih aja ngga percaya diri. Tiap liat vid tutorial make up yg bener ngga pernah ku skip. Tp tetep aja tiap ke tempat rame or bikin story ngga pernah percaya diri. Tiap coba make up selalu ku kirim ke temen yg udah kenal 7thn. Bahkan story ig aja isinya cuman pemandangan sama repost an reels. Kemarin iseng post story hasil make up di wa, ku priv yg liat cuman 5 org. Ada yg rep (temen pas sma yg ga deket2 banget), katanya make up nya bagus bahkan katanya looknya kayak carmen h2h. Gara2 itu aku jadi mulai coba buat percaya diri, kalo post story muka gitu udah mulai ditambah privnya jadi 10org yg bisa liat. Intinya becanda bawa fisik itu ga lucu pleaseee, stop becanda bawa fisik sama keadaan seseorang. Kita gatau dia ngalamin apa aja sampe bisa kayak sekarang.",186,1024,4.387,3,panjang,178.557
144252,2026-03-05T22:44:55+00:00,"#jenii 
 
 
pacarku ngatain aku lonte, padahal aku ga aneh"" se
agkan dia ketauan main ome 2 kali buat nyari cwe yg sma"" birahi. ketauannya karna aku pegang emailnya dan nyoba login pake email dia dn semua kelakuannya kebongkar, dia janji mau berubah dan dia bohong dia liatin live cwe"" yg kalo live tengah malem dan suaranya di manja"" in kayak ngegoda, orng yg live open bo di tiktok nah dia liat itu. terus ketauan juga dia bikin ig secon yg follow cwe yg seksi"". aku masih maafin dia sebelumnya dan ngasih kesempatan tapi maafku kayak disepelein dan dia jadi seenaknya sendiri perlakuin aku. aku udah yakin bgt buat putus dia yg gamau putus dan cuma janji"" doang dia mau nikahin aku tapi aku ga mau nikah sama orng yg kayak gitu. doain aku bisa  lepas dari dia ya teman"". rasanya sakit bgt di katain lonte padahal aku ga pernah aneh"" bener"" ga main blakang dari dia yang pantes di sebut lonte harusnya dia ga sih, aku masih ga trima dan itu ngebekas bgt🥺",173,950,4.376,3,panjang,178.557
